File,LineNumber,MatchedTerm,Classification,LineSnippet,Notes
backend\tests\test_activity_sessions_and_retries.py,81,CLI,research quotation/reference,"att4_fail = client.post(f""/api/activity-sessions/{session_id}/attempts"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,85,CLI,research quotation/reference,"def test_low_risk_learner_scaffolding_progression(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,95,CLI,research quotation/reference,"s_res = client.post(""/api/activity-sessions"", json={""learner_id"": learner.id, ""task_id"": task.id})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,99,CLI,research quotation/reference,"att1 = client.post(f""/api/activity-sessions/{s_id}/attempts"").json()[""attempt""]",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,102,CLI,research quotation/reference,"client.patch(f""/api/attempts/{att1['id']}/response"", json={""manual_transcript"": ""Fish live water.""})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,103,CLI,research quotation/reference,"client.post(f""/api/attempts/{att1['id']}/confirm-response"", json={""confirmed"": True})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,104,CLI,research quotation/reference,"client.post(f""/api/attempts/{att1['id']}/analyse"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,105,CLI,research quotation/reference,"client.post(f""/api/attempts/{att1['id']}/transition"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,107,CLI,research quotation/reference,"att2 = client.post(f""/api/activity-sessions/{s_id}/attempts"").json()[""attempt""]",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,110,CLI,research quotation/reference,"client.patch(f""/api/attempts/{att2['id']}/response"", json={""manual_transcript"": ""tree""})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,111,CLI,research quotation/reference,"client.post(f""/api/attempts/{att2['id']}/confirm-response"", json={""confirmed"": True})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,112,CLI,research quotation/reference,"client.post(f""/api/attempts/{att2['id']}/analyse"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,113,CLI,research quotation/reference,"client.post(f""/api/attempts/{att2['id']}/transition"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,115,CLI,research quotation/reference,"att3 = client.post(f""/api/activity-sessions/{s_id}/attempts"").json()[""attempt""]",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,118,CLI,research quotation/reference,"def test_immutable_learner_profile_snapshot(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,127,CLI,research quotation/reference,"s_res = client.post(""/api/activity-sessions"", json={""learner_id"": learner.id, ""task_id"": task.id})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,137,CLI,research quotation/reference,"s_after = client.get(f""/api/activity-sessions/{s_id}"").json()",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,144,CLI,child-facing term removed,"def test_child_view_endpoint_safety(client, db_session):",Child-facing interface guarantees zero clinical jargon or scores
backend\tests\test_activity_sessions_and_retries.py,147,diagnostic,research quotation/reference,"without diagnostic codes, clinical scores, or researcher notes.",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,152,CLI,research quotation/reference,"s_id = client.post(""/api/activity-sessions"", json={""learner_id"": learner.id, ""task_id"": task.id}).json()[""id""]",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,153,CLI,research quotation/reference,"client.post(f""/api/activity-sessions/{s_id}/attempts"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,155,CLI,research quotation/reference,"cv_res = client.get(f""/api/activity-sessions/{s_id}/child-view"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,163,diagnostic,research quotation/reference,# Confirm exclusion of researcher/diagnostic fields,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_activity_sessions_and_retries.py,164,risk_support_level,legacy field retained temporarily,"assert ""risk_support_level"" not in cv",Database schema backward-compatibility column retained during Stage 12
backend\tests\test_activity_sessions_and_retries.py,168,diagnostic,research quotation/reference,"assert ""diagnostic_summary"" not in cv",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_analysis.py,2,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_analysis.py,11,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_analysis.py,12,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_analysis.py,134,CLI,research quotation/reference,def test_analyze_response_api_endpoint(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_analysis.py,136,CLI,research quotation/reference,"response = client.post(""/api/analyze-response"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_analysis.py,151,CLI,research quotation/reference,def test_grammar_test_cases_api_endpoint(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_analysis.py,153,CLI,research quotation/reference,"response = client.get(""/api/grammar-test-cases"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,4,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,11,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,12,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,24,CLI,research quotation/reference,"def test_submit_expert_evaluation_valid(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,43,CLI,research quotation/reference,"resp = client.post(""/api/expert-evaluations"", json=payload)",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,56,CLI,research quotation/reference,"def test_submit_expert_evaluation_invalid_bounds(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,73,CLI,research quotation/reference,"resp1 = client.post(""/api/expert-evaluations"", json=payload_high)",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,86,CLI,research quotation/reference,"resp2 = client.post(""/api/expert-evaluations"", json=payload_low)",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,103,CLI,research quotation/reference,"def test_get_evaluation_statistics(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,108,CLI,research quotation/reference,"resp = client.get(""/api/expert-evaluations/stats"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,131,CLI,research quotation/reference,"def test_get_evaluations_for_adaptation(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,138,CLI,research quotation/reference,"resp = client.get(f""/api/expert-evaluations/adaptation/{adaptation.id}"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,148,CLI,research quotation/reference,def test_export_experiments_json(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,153,CLI,research quotation/reference,"resp = client.get(""/api/export/experiments/json"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,166,CLI,research quotation/reference,def test_export_csv_endpoints(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,178,CLI,research quotation/reference,resp = client.get(ep),Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,187,CLI,research quotation/reference,def test_export_research_bundle_zip(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_evaluation_and_export.py,192,CLI,research quotation/reference,"resp = client.get(""/api/export/research-bundle/zip"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,2,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,16,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,17,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,218,diagnostic,research quotation/reference,- clinician diagnostic_summary,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,242,diagnostic,research quotation/reference,"assert ""diagnostic_summary"" in comp4",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,246,CLI,research quotation/reference,"def test_generator_comparison_api(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,256,CLI,research quotation/reference,"response = client.get(f""/api/generate-comparison/{task.id}/{learner.id}?attempt_number=1"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,278,CLI,research quotation/reference,"def test_integration_events_api(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,291,CLI,research quotation/reference,"client.get(f""/api/output/component-1/{exp.id}"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,292,CLI,research quotation/reference,"client.get(f""/api/output/ar/{exp.id}"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_llm_and_integration.py,295,CLI,research quotation/reference,"ev_resp = client.get(f""/api/integration-events/{exp.id}"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,2,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,9,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,10,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,78,CLI,research quotation/reference,"def test_strict_confirmation_before_analysis(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,86,CLI,research quotation/reference,"s_res = client.post(""/api/activity-sessions"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,94,CLI,research quotation/reference,"att_res = client.post(f""/api/activity-sessions/{session_id}/attempts"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,99,CLI,research quotation/reference,"rec_res = client.patch(f""/api/attempts/{attempt_id}/response"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,109,CLI,research quotation/reference,"anal_fail = client.post(f""/api/attempts/{attempt_id}/analyse"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,114,CLI,research quotation/reference,"conf_res = client.post(f""/api/attempts/{attempt_id}/confirm-response"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,121,CLI,research quotation/reference,"anal_ok = client.post(f""/api/attempts/{attempt_id}/analyse"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,128,CLI,research quotation/reference,"def test_adult_review_preserves_automatic_and_final_results(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,137,CLI,research quotation/reference,"s_id = client.post(""/api/activity-sessions"", json={""learner_id"": learner.id, ""task_id"": task.id}).json()[""id""]",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,138,CLI,research quotation/reference,"att_id = client.post(f""/api/activity-sessions/{s_id}/attempts"").json()[""attempt""][""id""]",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,139,CLI,research quotation/reference,"client.patch(f""/api/attempts/{att_id}/response"", json={""manual_transcript"": ""Fish live water.""})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,140,CLI,research quotation/reference,"client.post(f""/api/attempts/{att_id}/confirm-response"", json={""confirmed"": True})",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,141,CLI,research quotation/reference,"client.post(f""/api/attempts/{att_id}/analyse"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_manual_input_and_analysis.py,144,CLI,research quotation/reference,"rev_res = client.patch(f""/api/attempts/{att_id}/review"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,2,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,12,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,13,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,61,CLI,research quotation/reference,def test_integration_status_endpoint(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,65,CLI,research quotation/reference,"res = client.get(""/api/integration/status"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,74,CLI,research quotation/reference,"def test_component4_preview_export(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,79,CLI,research quotation/reference,"res = client.get(""/api/integration-preview/component-4/CHILD-002"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,92,CLI,research quotation/reference,"def test_component2_ar_preview(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,97,CLI,research quotation/reference,"res = client.get(""/api/integration-preview/component-2-ar/GRAM-PREP-001"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,105,CLI,research quotation/reference,def test_external_screening_import_disabled_in_mock_mode(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_mock_integrations.py,110,CLI,research quotation/reference,"res = client.post(""/api/integration/component-1/screening-profile"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_personalization.py,2,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_personalization.py,11,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_personalization.py,12,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_personalization.py,40,risk_support_level,legacy field retained temporarily,"c_mod = next(l for l in learners if (l.risk_support_level or """").lower() == ""moderate"")",Database schema backward-compatibility column retained during Stage 12
backend\tests\test_personalization.py,46,risk_support_level,legacy field retained temporarily,"c_high = next(l for l in learners if (l.risk_support_level or """").lower() == ""high"")",Database schema backward-compatibility column retained during Stage 12
backend\tests\test_personalization.py,130,CLI,research quotation/reference,def test_preview_progression_api_endpoint(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_personalization.py,132,CLI,research quotation/reference,"response = client.get(""/api/preview-progression/TASK-ENG-002/CHILD-003"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_personalization.py,156,CLI,research quotation/reference,def test_adapt_instruction_api_endpoint(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_personalization.py,158,CLI,research quotation/reference,"response = client.post(""/api/adapt-instruction"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_profile_evolution.py,30,screening_risk_level,legacy field retained temporarily,screening_risk_before = learner.screening_risk_level or learner.risk_support_level,Database schema backward-compatibility column retained during Stage 12
backend\tests\test_profile_evolution.py,49,risk_changed,legacy field retained temporarily,"assert res[""risk_changed""] is False",Database schema backward-compatibility column retained during Stage 12
backend\tests\test_profile_evolution.py,50,screening_risk_level,legacy field retained temporarily,assert (learner.screening_risk_level or learner.risk_support_level) == screening_risk_before,Database schema backward-compatibility column retained during Stage 12
backend\tests\test_profile_evolution.py,84,risk_changed,legacy field retained temporarily,"assert res[""risk_changed""] is False",Database schema backward-compatibility column retained during Stage 12
backend\tests\test_responsibility_boundaries.py,2,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_responsibility_boundaries.py,9,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_responsibility_boundaries.py,10,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_responsibility_boundaries.py,38,screening_risk_level,legacy field retained temporarily,screening_risk_before = learner.screening_risk_level or learner.risk_support_level,Database schema backward-compatibility column retained during Stage 12
backend\tests\test_responsibility_boundaries.py,51,risk_changed,legacy field retained temporarily,"assert res[""risk_changed""] is False",Database schema backward-compatibility column retained during Stage 12
backend\tests\test_responsibility_boundaries.py,58,screening_risk_level,legacy field retained temporarily,assert (learner.screening_risk_level or learner.risk_support_level) == screening_risk_before,Database schema backward-compatibility column retained during Stage 12
backend\tests\test_responsibility_boundaries.py,85,risk_changed,legacy field retained temporarily,"assert res[""risk_changed""] is False",Database schema backward-compatibility column retained during Stage 12
backend\tests\test_responsibility_boundaries.py,90,screening_risk,research quotation/reference,def test_screening_risk_remains_read_only(db_session):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_responsibility_boundaries.py,93,screening_risk_level,valid screening terminology,screening_risk_level remains unchanged.,Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\tests\test_responsibility_boundaries.py,99,screening_risk_level,legacy field retained temporarily,original_risk = learner.screening_risk_level or learner.risk_support_level,Database schema backward-compatibility column retained during Stage 12
backend\tests\test_responsibility_boundaries.py,112,risk_changed,legacy field retained temporarily,"assert res[""risk_changed""] is False",Database schema backward-compatibility column retained during Stage 12
backend\tests\test_responsibility_boundaries.py,113,screening_risk_level,legacy field retained temporarily,assert (learner.screening_risk_level or learner.risk_support_level) == original_risk,Database schema backward-compatibility column retained during Stage 12
backend\tests\test_responsibility_boundaries.py,132,CLI,child-facing term removed,"def test_child_view_excludes_sensitive_screening_and_performance_fields(client, db_session):",Child-facing interface guarantees zero clinical jargon or scores
backend\tests\test_responsibility_boundaries.py,134,screening_risk_level,valid screening terminology,"Test 5: The child-view backend response must NEVER expose screening_risk_level,",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\tests\test_responsibility_boundaries.py,136,CLI,research quotation/reference,or calculation snapshots to prevent client-side inspection leakage.,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_responsibility_boundaries.py,141,CLI,research quotation/reference,"s_res = client.post(""/api/activity-sessions"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_responsibility_boundaries.py,147,CLI,research quotation/reference,"att_res = client.post(f""/api/activity-sessions/{session_id}/attempts"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_responsibility_boundaries.py,153,screening_risk_level,valid screening terminology,"""screening_risk_level"",",Component 1 owned DLD risk screening indicator (read-only snapshot)
backend\tests\test_responsibility_boundaries.py,155,risk_support_level,legacy field retained temporarily,"""risk_support_level"",",Database schema backward-compatibility column retained during Stage 12
backend\tests\test_sprint1_foundation.py,2,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,6,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,7,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,10,CLI,research quotation/reference,def test_health_endpoint(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,11,CLI,research quotation/reference,"response = client.get(""/api/health"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,17,CLI,research quotation/reference,def test_tasks_endpoint(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,18,CLI,research quotation/reference,"response = client.get(""/api/tasks"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,26,CLI,research quotation/reference,def test_learners_endpoint(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,27,CLI,research quotation/reference,"response = client.get(""/api/learners"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,35,CLI,research quotation/reference,def test_scenarios_endpoint(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,36,CLI,research quotation/reference,"response = client.get(""/api/scenarios"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,41,CLI,research quotation/reference,def test_end_to_end_initial_adaptation_and_attempt(client):,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,43,CLI,research quotation/reference,"learners = client.get(""/api/learners"").json()",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,44,CLI,research quotation/reference,"tasks = client.get(""/api/tasks"").json()",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,50,CLI,research quotation/reference,"exp_res = client.post(""/api/experiments"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,61,CLI,research quotation/reference,"adapt_res = client.post(f""/api/experiments/{exp_id}/initial-adaptation"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,70,CLI,research quotation/reference,"att1_res = client.post(f""/api/experiments/{exp_id}/attempts"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,87,CLI,research quotation/reference,"att2_res = client.post(f""/api/experiments/{exp_id}/attempts"", json={",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_sprint1_foundation.py,103,CLI,research quotation/reference,"hist_res = client.get(f""/api/experiments/{exp_id}/history"")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,2,CLI,research quotation/reference,from fastapi.testclient import TestClient,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,15,CLI,research quotation/reference,def client():,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,16,CLI,research quotation/reference,with TestClient(app) as c:,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,66,diagnostic,research quotation/reference,2. Blocks clinical/diagnostic jargon,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,76,clinical,research quotation/reference,# 2. Clinical jargon,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,77,clinical,research quotation/reference,"res_clinical = child_suitability_checker.check_suitability(""This child has DLD and a low risk score."")",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,78,clinical,child-facing term removed,"assert res_clinical[""safety_valid""] is False",Validation check preventing clinical terminology from reaching child
backend\tests\test_validation_and_retry.py,79,clinical,research quotation/reference,"assert res_clinical[""child_suitable""] is False",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,80,clinical,child-facing term removed,"assert any(""dld"" in v or ""risk score"" in v for v in res_clinical[""violations""])",Validation check preventing clinical terminology from reaching child
backend\tests\test_validation_and_retry.py,152,diagnostic,research quotation/reference,Verifies non-punitive child message and researcher diagnostic summary.,Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,265,CLI,research quotation/reference,"def test_api_validate_output_and_retry_state(client, db_session):",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,280,CLI,research quotation/reference,"resp1 = client.post(""/api/validate-output"", json=payload_good)",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,295,CLI,research quotation/reference,"resp2 = client.post(""/api/validate-output"", json=payload_bad)",Automated test suite verifying responsibility boundaries and safety
backend\tests\test_validation_and_retry.py,305,CLI,research quotation/reference,"resp3 = client.get(f""/api/retry-state/{exp.id}"")",Automated test suite verifying responsibility boundaries and safety
data\development_scenarios\seed_scenarios.json,10,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,43,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,76,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""high"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,109,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""low"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,142,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,175,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,208,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""high"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,241,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,274,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""low"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,307,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,340,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,373,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""high"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,406,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,439,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""high"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,472,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""low"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,505,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,538,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,571,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""moderate"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,604,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""high"",",Database schema backward-compatibility column retained during Stage 12
data\development_scenarios\seed_scenarios.json,637,risk_support_level,legacy field retained temporarily,"""risk_support_level"": ""low"",",Database schema backward-compatibility column retained during Stage 12
data\integration_fixtures\component4_expected\example_c4_export.json,4,screening_risk_level,valid screening terminology,"""screening_risk_level"": ""moderate"",",Component 1 owned DLD risk screening indicator (read-only snapshot)
data\integration_fixtures\component4_expected\example_c4_export.json,7,recommended_support_level,corrected educational terminology,"""recommended_support_level"": ""strong"",",Standardized educational performance metric and support scaffold
data\integration_previews\component4_outputs\CHILD-002_component4_export.json,4,screening_risk_level,valid screening terminology,"""screening_risk_level"": ""high"",",Component 1 owned DLD risk screening indicator (read-only snapshot)
